FID,SRC_AGENCY,FIRE_ID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,OUT_DATE,SIZE_HA,CAUSE,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
370585,QC,20201080373,46.1528,-74.7655,2020,6,8,2020-06-08 00:00:00,2020-06-08 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370586,QC,20201080374,49.7588,-67.1708,2020,6,9,2020-06-09 00:00:00,2020-06-09 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370587,QC,20201080375,48.9814,-76.1573,2020,6,9,2020-06-09 00:00:00,2020-06-09 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370588,QC,20201080376,47.4379,-72.76,2020,6,9,2020-06-09 00:00:00,2020-06-10 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370589,QC,20201080377,46.4607,-71.6732,2020,6,10,2020-06-10 00:00:00,2020-06-11 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370590,QC,20201080378,46.0715,-74.36889999999998,2020,6,11,2020-06-11 00:00:00,2020-06-11 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370591,QC,20201080379,45.6024,-75.59319999999998,2020,6,11,2020-06-11 00:00:00,2020-06-11 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370592,QC,20201080380,46.0339,-73.7029,2020,6,11,2020-06-11 00:00:00,2020-06-11 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370593,QC,20201080381,48.4553,-72.33159999999998,2020,6,11,2020-06-11 00:00:00,2020-06-12 00:00:00,0.3,H,6,6b,Boreal Shield East,Bouclier bordal
370594,QC,20201080382,45.7378,-74.08419999999998,2020,6,11,2020-06-11 00:00:00,2020-06-11 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370595,QC,20201080383,46.4885,-72.9513,2020,6,10,2020-06-10 00:00:00,2020-06-10 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370596,QC,20201080384,45.9478,-73.77089999999998,2020,6,12,2020-06-12 00:00:00,2020-06-13 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370597,QC,20201080385,46.0381,-73.30549999999998,2020,6,12,2020-06-12 00:00:00,2020-06-12 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370598,QC,20201080386,46.3396,-73.83719999999998,2020,6,11,2020-06-11 00:00:00,2020-06-11 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370599,QC,20201080387,46.2132,-73.7123,2020,6,11,2020-06-11 00:00:00,2020-06-11 00:00:00,0.2,H,6,6b,Boreal Shield East,Bouclier bordal
370600,QC,20201080388,48.6238,-71.7653,2020,6,13,2020-06-13 00:00:00,2020-06-13 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370601,QC,20201080389,46.9908,-71.2135,2020,6,14,2020-06-14 00:00:00,2020-06-14 00:00:00,0.2,H,6,6b,Boreal Shield East,Bouclier bordal
370602,QC,20201080390,46.2414,-74.70449999999998,2020,6,15,2020-06-15 00:00:00,2020-06-15 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370603,QC,20201080391,45.7975,-75.8057,2020,6,14,2020-06-14 00:00:00,2020-06-16 00:00:00,0.2,H,6,6b,Boreal Shield East,Bouclier bordal
370604,QC,20201080392,47.3199,-73.0676,2020,6,16,2020-06-16 00:00:00,2020-06-16 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370605,QC,20201080393,45.273,-72.96819999999998,2020,6,16,2020-06-16 00:00:00,2020-06-16 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
